bank,period,results_analysis_downloaded,results_analysis_discovered,presentation_downloaded,presentation_discovered,statements_downloaded,statements_discovered,historical_downloaded,historical_discovered,transcript_downloaded,transcript_discovered
Banco_do_Brasil,2024Q1,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2024Q2,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2024Q3,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2024Q4,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2025Q1,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2025Q2,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2025Q3,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2025Q4,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2026Q1,2,2,1,1,3,3,1,1,1,1
Banco_do_Brasil,2026Q2,2,2,1,1,3,3,1,1,1,1
Bradesco,2024Q1,2,2,1,1,1,1,1,1,1,1
Bradesco,2024Q2,2,2,1,1,1,1,1,1,1,1
Bradesco,2024Q3,2,2,1,1,1,1,1,1,1,1
Bradesco,2024Q4,2,2,1,1,1,1,1,1,1,1
Bradesco,2025Q1,2,2,1,1,1,1,1,1,1,1
Bradesco,2025Q2,2,2,1,1,1,1,1,1,1,1
Bradesco,2025Q3,2,2,1,1,1,1,1,1,1,1
Bradesco,2025Q4,2,2,1,1,1,1,1,1,1,1
Bradesco,2026Q1,2,2,1,1,1,1,1,1,1,1
Bradesco,2026Q2,2,2,1,1,1,1,1,1,1,1
BTG_Pactual,2024Q1,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2024Q2,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2024Q3,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2024Q4,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2025Q1,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2025Q2,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2025Q3,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2025Q4,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2026Q1,1,1,1,1,2,2,1,1,0,0
BTG_Pactual,2026Q2,1,1,1,1,2,2,1,1,0,0
Caixa,2024Q1,1,1,1,1,4,4,0,0,0,0
Caixa,2024Q2,1,1,1,1,4,4,0,0,0,0
Caixa,2024Q3,1,1,1,1,4,4,0,0,0,0
Caixa,2024Q4,1,1,1,1,4,4,0,0,0,0
Caixa,2025Q1,1,1,1,1,4,4,0,0,0,0
Caixa,2025Q2,1,1,1,1,4,4,0,0,0,0
Caixa,2025Q3,1,1,2,2,4,4,0,0,0,0
Caixa,2025Q4,1,1,2,2,4,4,0,0,0,0
Caixa,2026Q1,2,2,2,2,4,4,0,0,0,0
Caixa,2026Q2,2,2,1,1,4,4,0,0,0,0
Itau,2024Q1,1,1,2,2,2,2,0,0,1,1
Itau,2024Q2,1,1,2,2,2,2,0,0,1,1
Itau,2024Q3,1,1,2,2,2,2,0,0,1,1
Itau,2024Q4,1,1,2,2,2,2,0,0,1,1
Itau,2025Q1,1,1,2,2,2,2,0,0,1,1
Itau,2025Q2,1,1,2,2,2,2,0,0,1,1
Itau,2025Q3,1,1,2,2,2,2,0,0,1,1
Itau,2025Q4,1,1,2,2,2,2,0,0,1,1
Itau,2026Q1,1,1,2,2,2,2,0,0,1,1
Itau,2026Q2,1,1,2,2,2,2,1,1,1,1
Santander,2024Q1,1,1,1,1,2,2,0,0,1,1
Santander,2024Q2,1,1,1,1,2,2,0,0,1,1
Santander,2024Q3,1,1,1,1,2,2,0,0,1,1
Santander,2024Q4,1,1,1,1,2,2,0,0,1,1
Santander,2025Q1,1,1,1,1,2,2,1,1,1,1
Santander,2025Q2,1,1,1,1,2,2,1,1,1,1
Santander,2025Q3,1,1,1,1,2,2,1,1,1,1
Santander,2025Q4,1,1,1,1,2,2,1,1,1,1
Santander,2026Q1,1,1,1,1,2,2,1,1,1,1
Santander,2026Q2,1,1,1,1,2,2,1,1,1,1
