bank,period,comparison,base_period,unit,profit_change,profit_change_percent,contribution_revenue,contribution_operating_expenses,other_items_and_tax_residual,status,interpretation,sources,contribution_net_interest_income,contribution_fees,contribution_credit_cost,contribution_insurance_result
BTG_Pactual,2024Q2,QoQ,2024Q1,BRL_million,59.616305999999895,2.063254635961258,98.26289799999995,-45.79094299999997,7.144350999999915,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2024Q2"", ""value"": 5989.76113, ""reference"": ""InputSite_Highlights!BQ7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q1"", ""value"": 5891.498232, ""reference"": ""InputSite_Highlights!BP7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q2"", ""value"": 2464.314412, ""reference"": ""InputSite_Highlights!BQ9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q1"", ""value"": 2418.523469, ""reference"": ""InputSite_Highlights!BP9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2024Q3,QoQ,2024Q2,BRL_million,258.27408700000024,8.757884009250478,455.4931880000004,-136.7303149999998,-60.488786000000346,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2024Q3"", ""value"": 6445.254318, ""reference"": ""InputSite_Highlights!BR7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q2"", ""value"": 5989.76113, ""reference"": ""InputSite_Highlights!BQ7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q3"", ""value"": 2601.044727, ""reference"": ""InputSite_Highlights!BR9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q2"", ""value"": 2464.314412, ""reference"": ""InputSite_Highlights!BQ9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2024Q4,QoQ,2024Q3,BRL_million,68.42874799999981,2.133517447129292,282.55384700000013,-266.5312079999999,52.40610899999956,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2024Q4"", ""value"": 6727.808165, ""reference"": ""InputSite_Highlights!BS7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q3"", ""value"": 6445.254318, ""reference"": ""InputSite_Highlights!BR7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q4"", ""value"": 2867.575935, ""reference"": ""InputSite_Highlights!BS9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q3"", ""value"": 2601.044727, ""reference"": ""InputSite_Highlights!BR9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q1,QoQ,2024Q4,BRL_million,103.48648200000025,3.159169580801789,694.8712999999998,-504.58983000000035,-86.7949879999992,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q1"", ""value"": 7422.679465, ""reference"": ""InputSite_Highlights!BU7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q4"", ""value"": 6727.808165, ""reference"": ""InputSite_Highlights!BS7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q1"", ""value"": 3372.165765, ""reference"": ""InputSite_Highlights!BU9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q4"", ""value"": 2867.575935, ""reference"": ""InputSite_Highlights!BS9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q1,YoY,2024Q1,BRL_million,489.8056230000002,16.951632702211445,1531.1812330000002,-953.642296,-87.73331400000006,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q1"", ""value"": 7422.679465, ""reference"": ""InputSite_Highlights!BU7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q1"", ""value"": 5891.498232, ""reference"": ""InputSite_Highlights!BP7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q1"", ""value"": 3372.165765, ""reference"": ""InputSite_Highlights!BU9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q1"", ""value"": 2418.523469, ""reference"": ""InputSite_Highlights!BP9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q2,QoQ,2025Q1,BRL_million,815.1818759999996,24.123259766773483,1528.1753319999998,-414.7292339999999,-298.26422200000025,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q2"", ""value"": 8950.854797, ""reference"": ""InputSite_Highlights!BV7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2025Q1"", ""value"": 7422.679465, ""reference"": ""InputSite_Highlights!BU7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q2"", ""value"": 3786.894999, ""reference"": ""InputSite_Highlights!BV9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q1"", ""value"": 3372.165765, ""reference"": ""InputSite_Highlights!BU9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q2,YoY,2024Q2,BRL_million,1245.371193,42.229619639526135,2961.093667,-1322.580587,-393.1418870000002,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q2"", ""value"": 8950.854797, ""reference"": ""InputSite_Highlights!BV7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q2"", ""value"": 5989.76113, ""reference"": ""InputSite_Highlights!BQ7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q2"", ""value"": 3786.894999, ""reference"": ""InputSite_Highlights!BV9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q2"", ""value"": 2464.314412, ""reference"": ""InputSite_Highlights!BQ9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q3,QoQ,2025Q2,BRL_million,356.6758319999999,8.50358365319818,552.3765060000005,-99.45923099999982,-96.2414430000008,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q3"", ""value"": 9503.231303, ""reference"": ""InputSite_Highlights!BW7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2025Q2"", ""value"": 8950.854797, ""reference"": ""InputSite_Highlights!BV7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q3"", ""value"": 3886.35423, ""reference"": ""InputSite_Highlights!BW9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q2"", ""value"": 3786.894999, ""reference"": ""InputSite_Highlights!BV9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q3,YoY,2024Q3,BRL_million,1343.7729379999996,41.897054848982414,3057.9769850000002,-1285.309503,-428.8945440000007,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q3"", ""value"": 9503.231303, ""reference"": ""InputSite_Highlights!BW7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2024Q3"", ""value"": 6445.254318, ""reference"": ""InputSite_Highlights!BR7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q3"", ""value"": 3886.35423, ""reference"": ""InputSite_Highlights!BW9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2024Q3"", ""value"": 2601.044727, ""reference"": ""InputSite_Highlights!BR9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
BTG_Pactual,2025Q4,QoQ,2025Q3,BRL_million,58.58334999999988,1.2872367366495798,385.083247999999,-269.0677820000001,-57.43211599999904,arithmetic_bridge,Selected income components plus residual; not causal attribution. Accounting/managerial scope and 2025 rule changes may affect comparability.,"[{""metric"": ""revenue"", ""period"": ""2025Q4"", ""value"": 9888.314551, ""reference"": ""InputSite_Highlights!BX7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""revenue"", ""period"": ""2025Q3"", ""value"": 9503.231303, ""reference"": ""InputSite_Highlights!BW7"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q4"", ""value"": 4155.422012, ""reference"": ""InputSite_Highlights!BX9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}, {""metric"": ""operating_expenses"", ""period"": ""2025Q3"", ""value"": 3886.35423, ""reference"": ""InputSite_Highlights!BW9"", ""path"": ""documents/BTG_Pactual/2026/2T26/Planilhas_Series_Historicas_2T26__fcd319bf1765.xlsx"", ""vintage"": ""2026Q2""}]",,,,
